name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh,2026-06-28T06:00:00,80,80,75.5,86.19,0,29,,0,0,19.7,5.1,246.1,1008,99.7,15,4,0,0,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T07:00:00,81.4,88,75.6,82.73,0,29,,0,0,19.5,7.2,249.2,1008,93.1,15,97,0.3,1,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T08:00:00,85.2,94.1,75.3,72.35,0,42,,0,0,18.1,10.1,258.1,1008,78.4,15,357,1.3,4,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T09:00:00,88.1,97.5,74.6,64.45,0,42,,0,0,15.2,10.5,263.8,1009,49.5,15,575,2.1,6,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T10:00:00,90.9,100.5,73.8,57.46,0.004,42,rain,0,0,15.4,10.5,262,1008,87,15,704,2.5,7,30,Partially cloudy,partly-cloudy-day,
Ho Chi Minh,2026-06-28T11:00:00,92.7,101.2,72.4,51.75,0,42,,0,0,15.9,11,261.3,1007,100,15,614,2.2,6,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T12:00:00,91.7,100,72.6,53.85,0.012,42,rain,0,0,15.7,9.4,266.1,1007,100,15,296,1.1,3,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T13:00:00,91.7,99.6,72.2,53.2,0.008,42,rain,0,0,14.1,7.2,269.6,1006,100,15,198,0.7,2,30,Overcast,cloudy,
Ho Chi Minh,2026-06-28T14:00:00,91.5,100,72.8,54.48,0.004,58,rain,0,0,13.6,7.2,256.9,1005,100,15,173,0.6,2,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T15:00:00,91.1,99.5,72.8,55.1,0.004,58,rain,0,0,13.6,7.6,249.7,1004,100,15,128,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T16:00:00,90.1,98.9,73.5,58.39,0,58,rain,0,0,16.6,9.6,237.4,1004,100,15,96,0.3,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T17:00:00,88.8,96.9,73.1,60.02,0,58,rain,0,0,18.6,7.8,237.3,1005,100,15,64,0.2,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T18:00:00,88.4,96.6,73.3,61.08,0,58,rain,0,0,17.9,8.5,234.4,1005,100,15,30,0.1,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T19:00:00,87.2,94.6,72.9,62.8,0,58,rain,0,0,21.3,9.8,236.6,1005,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T20:00:00,86.3,93.1,72.6,63.85,0,48,rain,0,0,20.8,9.4,232.3,1006,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T21:00:00,84.8,91.3,72.8,67.26,0,48,rain,0,0,21.9,9.4,238,1007,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T22:00:00,83.7,90.2,73.3,70.92,0,48,rain,0,0,22.8,9.2,240.7,1008,100,15,0,0,0,10,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-28T23:00:00,83.4,90.2,74,73.5,0,48,rain,0,0,22.8,9.2,241.7,1008,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T00:00:00,83,89.8,74.2,74.81,0,48,rain,0,0,21.5,8.5,238.2,1007,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T01:00:00,82.8,89.6,74.4,75.7,0,48,rain,0,0,21.7,8.1,241.1,1006,100,15,0,0,0,30,"Rain, Overcast",rain,
